,aws_score
0,3.43361134
1,0.76289069
2,0.80252462
3,0.63196903
4,0.90996217
5,0.96256458
6,0.61962282
7,0.70320177
8,0.86052131
9,0.52563661
10,0.92986482
11,0.70568794
12,0.62053680
13,0.95811134
14,0.95473283
15,0.60713160
16,0.79121494
17,0.67562907
18,0.94201821
19,0.91038203
20,0.53327846
21,0.61437338
22,0.71554070
23,0.87147688
24,0.70150244
25,0.78896248
26,0.97034150
27,0.94240671
28,0.58872330
29,0.39332833
30,0.48622024
31,9.40659010
32,0.61401963
33,0.96571612
34,0.78516143
35,0.79744178
36,0.97894817
37,0.80399715
38,0.96106690
39,0.85559713
40,0.51406574
41,0.92716121
42,0.66341143
43,0.60774660
44,0.62372386
45,0.92072200
46,0.69042813
47,0.81828707
48,0.88462138
49,0.53571259
50,0.92220652
51,0.78864449
52,0.77845287
53,0.43469768
54,0.98627299
55,0.58579957
56,0.52407944
57,0.87340563
58,0.92091518
59,0.50018775
60,0.93791788
61,0.92109084
62,0.62950313
63,0.81051927
64,0.58891189
65,0.65273368
66,0.96819669
67,0.91423636
68,0.97922462
69,0.45009398
70,0.52135807
71,0.64614313
72,0.69468063
73,0.55629438
74,0.50027728
75,0.66677272
76,0.76542955
77,0.95312058
78,0.90398943
79,0.80885004
80,0.44199749
81,0.55973523
82,0.92639583
83,0.48634174
84,0.68568122
85,0.93909627
86,0.64804828
87,0.58202856
88,0.92026638
89,0.87957602
90,0.50590205
91,0.96504664
92,0.91414064
93,0.76359194
94,0.66446429
95,0.91549843
96,0.53658890
97,0.66003143
98,0.88702255
99,0.41957056
100,0.55974406
101,0.73728787
102,0.51506274
103,0.40337148
104,0.90586131
105,0.46823891
106,0.48762381
107,0.36966750
108,0.88115334
109,0.47395247
110,0.46689957
111,0.50848841
112,0.61268055
113,0.96496492
114,0.48610037
115,0.90796530
116,0.89521032
117,0.53111267
118,0.39848214
119,0.53767371
120,0.81623119
121,0.74778938
122,0.73964929
123,0.62701576
124,0.85134863
125,0.51070326
126,0.58365809
127,0.38498052
128,0.61471313
129,0.67576986
130,0.39005514
131,0.61807399
132,0.44665187
133,0.89921945
134,0.68617087
135,0.89854454
136,0.98718601
137,0.90470623
138,0.54487973
139,0.88165873
140,0.64003407
141,0.60904163
142,0.49463814
143,0.86216253
144,0.75082170
145,0.41582238
146,0.52233088
147,0.44105979
148,9.51195033
149,0.91934031
150,1.35878754
151,0.59694725
152,0.56562113
153,0.97962087
154,0.50984913
155,0.43001896
156,0.65016502
157,0.46799039
158,0.54998427
159,0.80647075
160,0.61814230
161,0.90810841
162,0.70845270
163,0.68803751
164,0.66642951
165,0.49372315
166,0.88828176
167,0.38194167
168,0.60966521
169,0.79105174
170,0.55248701
171,0.58202093
172,0.78127360
173,0.93949562
174,0.47947242
175,0.68809372
176,9.87726743
177,0.80513083
178,0.98672264
