,google_score
0,0.0
1,0.20000000298023224
2,0.10000000149011612
3,0.0
4,0.10000000149011612
5,0.0
6,0.10000000149011612
7,0.0
8,0.30000001192092896
9,0.20000000298023224
10,0.20000000298023224
11,0.0
12,0.10000000149011612
13,0.6000000238418579
14,0.0
15,0.20000000298023224
16,0.10000000149011612
17,-0.20000000298023224
18,0.30000001192092896
19,0.4000000059604645
20,0.4000000059604645
21,0.10000000149011612
22,0.20000000298023224
23,0.4000000059604645
24,0.20000000298023224
25,0.4000000059604645
26,0.699999988079071
27,0.4000000059604645
28,0.10000000149011612
29,0.0
30,0.20000000298023224
31,0.20000000298023224
32,0.0
33,0.10000000149011612
34,0.0
35,0.8999999761581421
36,0.0
37,0.6000000238418579
38,0.30000001192092896
39,0.30000001192092896
40,0.4000000059604645
41,0.20000000298023224
42,0.0
43,0.10000000149011612
44,0.20000000298023224
45,0.30000001192092896
46,0.699999988079071
47,0.30000001192092896
48,0.4000000059604645
49,0.4000000059604645
50,0.4000000059604645
51,0.5
52,-0.20000000298023224
53,0.20000000298023224
54,0.5
55,0.20000000298023224
56,-0.10000000149011612
57,0.4000000059604645
58,0.4000000059604645
59,0.30000001192092896
60,0.4000000059604645
61,0.10000000149011612
62,-0.10000000149011612
63,0.30000001192092896
64,0.10000000149011612
65,0.20000000298023224
66,0.30000001192092896
67,0.0
68,0.30000001192092896
69,0.0
70,0.30000001192092896
71,0.30000001192092896
72,0.10000000149011612
73,0.10000000149011612
74,-0.20000000298023224
75,-0.5
76,0.0
77,0.0
78,0.0
79,0.20000000298023224
80,0.20000000298023224
81,0.30000001192092896
82,0.20000000298023224
83,0.10000000149011612
84,0.30000001192092896
85,0.0
86,0.10000000149011612
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,-0.20000000298023224
93,0.4000000059604645
94,0.0
95,-0.10000000149011612
96,0.30000001192092896
97,0.20000000298023224
98,0.0
99,-0.10000000149011612
100,-0.10000000149011612
101,0.20000000298023224
102,0.4000000059604645
103,0.20000000298023224
104,0.0
105,-0.30000001192092896
106,0.30000001192092896
107,0.20000000298023224
108,0.0
109,0.4000000059604645
110,0.20000000298023224
111,0.0
112,0.30000001192092896
113,0.30000001192092896
114,0.0
115,0.0
116,0.4000000059604645
117,0.20000000298023224
118,0.20000000298023224
119,0.10000000149011612
120,-0.10000000149011612
121,0.0
122,0.0
123,-0.5
124,0.800000011920929
125,0.10000000149011612
126,0.30000001192092896
127,-0.30000001192092896
128,0.0
129,0.30000001192092896
130,0.30000001192092896
131,0.4000000059604645
132,0.10000000149011612
133,0.6000000238418579
134,0.20000000298023224
135,-0.10000000149011612
136,0.30000001192092896
137,0.0
138,0.0
139,0.0
140,0.30000001192092896
141,0.10000000149011612
142,-0.10000000149011612
143,-0.10000000149011612
144,0.10000000149011612
145,0.0
146,0.20000000298023224
147,-0.10000000149011612
148,0.5
149,0.0
150,0.8999999761581421
151,0.0
152,0.0
153,0.10000000149011612
154,0.10000000149011612
155,0.10000000149011612
156,0.0
157,0.4000000059604645
158,0.0
159,0.0
160,0.30000001192092896
161,0.30000001192092896
162,0.0
163,0.20000000298023224
164,0.0
165,0.5
166,0.0
167,0.10000000149011612
168,-0.10000000149011612
169,0.10000000149011612
170,0.30000001192092896
171,-0.10000000149011612
172,0.5
173,0.20000000298023224
174,0.5
175,0.0
176,0.20000000298023224
177,0.20000000298023224
178,0.20000000298023224
